Question,Answer,Processed_Question
Which direction is best for kitchen?,Kitchen should be in the South-East corner of the house.,direction best kitchen
Where should I place the pooja room?,The North-East corner is best for the pooja room.,place pooja room
Where should the master bedroom be?,The master bedroom should be in the South-West corner.,master bedroom
Where should the bathroom be?,The bathroom should ideally be in the West or North-West direction.,bathroom
Which direction is ideal for the main door?,The main door should be placed in the East or North direction.,direction ideal main door
Where should the staircase be placed?,"Staircase should be in South, West, or South-West. Avoid center and North-East.",staircase placed
Which direction is suitable for a living room?,"North, East, or North-East is best for a living room.",direction suitable living room
Which side should I sleep with my head?,Always sleep with your head towards the South for good health.,side sleep head
What is the best place for a study room?,"North-East, East, or West direction is ideal for a study room.",best place study room
Where should I place a mirror in the bedroom?,Avoid placing mirrors directly opposite the bed. North or East walls are preferred.,place mirror bedroom
Where should the guest room be located?,The North-West corner is best for a guest room.,guest room located
Where should I place the septic tank?,Septic tank should be located in North-West or South-East. Avoid North-East.,place septic tank
Where to place the overhead water tank?,South-West is ideal for overhead water tanks.,place overhead water tank
Where should I keep the dining table?,"West, North, or East side of the kitchen or living room.",keep dining table
Where should the home office be set up?,West or South-West corners are ideal for a home office.,home office set
Where should I avoid placing the kitchen?,Avoid placing the kitchen in North-East and South-West.,avoid placing kitchen
Remedy for kitchen in North-East?,Place red objects and keep heavy items in South-West for balance.,remedy kitchen
Remedy for toilet in North-East?,Keep a bowl of salt and place Vastu pyramids to reduce negative effects.,remedy toilet
Which direction should the toilet not be in?,Avoid placing toilets in North-East and South-West.,direction toilet
Where should I place the children's bedroom?,West or North-West is suitable for children's bedroom.,place child bedroom
Best place for money locker or safe?,"South-West wall, opening towards North.",best place money locker safe
Can I have a bathroom in South-West?,"Not advisable. If present, use Vastu remedies like salt bowls and crystals.",bathroom
Which direction should the bed face?,Head towards South; feet towards North.,direction bed face
Where to keep shoe rack?,West or South-West is ideal for shoe racks. Avoid North-East.,keep shoe rack
Where should the washing machine be placed?,South-East or North-West corners are ideal.,washing machine placed
Which is the best place for plants?,"East, North, or North-East balconies and corners.",best place plant
Where should water sumps or borewells be?,North-East is the best place for water sources.,water sump borewells
Where to keep garbage bins?,South-West or West. Avoid North-East.,keep garbage bin
Where to place idols in the pooja room?,Idols should be placed facing East or West.,place idol pooja room
Can I build a bedroom in North-East?,Not recommended; prefer South-West for master bedrooms.,build bedroom
Where should I place the TV?,South-East corner of living room. Avoid North-East.,place tv
Where should I avoid keeping mirrors?,Avoid mirrors in front of the bed or in South-West.,avoid keeping mirror
Where to place fridge?,"South-East, North, or West corners are suitable.",place fridge
Where to avoid heavy furniture?,Avoid heavy furniture in North-East. Keep it in South-West.,avoid heavy furniture
Where should I keep my office files?,South-West or West for stability.,keep office file
Can I place aquarium inside house?,North or East directions are best.,place aquarium inside house
Where should I keep a study table?,North-East or East. Face East or North while studying.,keep study table
Where should the balcony be located?,North or East sides are best.,balcony located
Which direction should avoid windows?,Avoid large windows in South-West.,direction avoid window
Where to place bed in master bedroom?,South-West corner with head towards South or West.,place bed master bedroom
Can kitchen and toilet be adjacent?,"Not recommended. If present, use Vastu partitions or remedies.",kitchen toilet adjacent
Where to keep dustbins?,South-West or West. Avoid North-East.,keep dustbin
Which color is good for walls as per Vasthu?,"Light colors like white, cream, light yellow, or light blue are good. Avoid dark red or black.",color good wall per vasthu
Which side should kitchen stove face?,Face East while cooking.,side kitchen stove face
Where should I place the dining area?,"Near kitchen, preferably in West or East.",place dining area
Can kitchen and bathroom share a wall?,"Not advisable; if unavoidable, use copper plates in between walls.",kitchen bathroom share wall
Where to keep staircase?,"South-West, South, or West. Avoid North-East.",keep staircase
Remedy for toilet in South-West?,"Keep salt, Vastu pyramids, and avoid using it frequently if possible.",remedy toilet
Where should bedroom door face?,"Prefer East, North, or West directions. Avoid South.",bedroom door face
Where to place almirah or wardrobe?,South or West walls for stability and wealth.,place almirah wardrobe
Where to keep home temple if no separate pooja room?,North-East or East side of the house.,keep home temple separate pooja room
What is the best place for underground water tanks?,North-East is most suitable.,best place underground water tank
Where should a borewell be dug?,North-East direction is ideal.,borewell dug
Where should the entrance gate be?,"North, East, or North-East is best.",entrance gate
Where should I place my work desk at home?,Face East or North while working.,place work desk home
What is the best location for a garage?,South-East or North-West of the plot.,best location garage
Where should the main switchboard be?,South-East corner of the house.,main switchboard
Which direction is best for guest seating in the living room?,North or East is ideal.,direction best guest seating living room
What should be the shape of the plot?,Square or rectangular is best for positive energy.,shape plot
Where should the kitchen sink be?,North-East of the kitchen.,kitchen sink
Which side should I avoid for entrance door?,South-West is inauspicious for main entrance.,side avoid entrance door
Where should the pooja shelf be in the kitchen?,North-East or East corner of the kitchen.,pooja shelf kitchen
What is the best position for a dressing table in bedroom?,"North or East walls, avoiding direct reflection of the bed.",best position dressing table bedroom
Where to keep electrical appliances?,South-East corner of the house.,keep electrical appliance
Where should the overhead tank NOT be placed?,Avoid placing it in North-East.,overhead tank placed
Where to keep home gym equipment?,South or South-West is preferred.,keep home gym equipment
Where should I store grains and food items?,South-West corner of the kitchen.,store grain food item
Which direction should the laptop or desktop screen face?,Face North or East while working.,direction laptop desktop screen face
Where should the study room bookshelf be?,West or South walls for stability.,study room bookshelf
Which is the best place to keep indoor plants?,North or East side of the house.,best place keep indoor plant
Where to keep cash and valuables for wealth stability?,South-West corner of the house.,keep cash valuable wealth stability
Which direction is best for an overhead projector or TV screen in office?,South-East wall.,direction best overhead projector tv screen office
Where to keep pet bedding and food bowls?,South-East or North-West corners.,keep pet bedding food bowl
Where to place clocks in the house?,North or East walls.,place clock house
Where should people assemble?,North-East or North-West part of the living room or open space is ideal for assembling.,people assemble
Where should elder photos be fixed?,"Photos of ancestors and elders should be placed on the South or West walls, facing North or East.",elder photo fixed
Elder photos which side should be facing?,South-West wall is considered best for placing elder or ancestor photos.,elder photo side facing
Can ancestor photos face the main entrance?,"No, avoid placing ancestor photos facing the main entrance. Prefer South or West walls.",ancestor photo face main entrance
Which wall is good for family photos?,"North, East, or North-East walls are good for happy family photos.",wall good family photo
Question,Answer,question
Hi,Hello! How can I assist you with your Vastu-related queries today?,hi
Hello,Hi there! Feel free to ask any Vastu-related questions.,hello
I am looking for Vastu doubts,"Sure, I'm here to help. Please ask your Vastu questions.",looking vastu doubt
Can I ask Vastu questions,Of course! Please go ahead with your Vastu questions.,ask vastu question
Is this Vastu chatbot,"Yes, I can help you with Vastu-related queries. What would you like to know?",vastu chatbot
I have some Vastu queries,"Sure, I'm ready to help. Please share your doubts.",vastu query
Can you help me with home Vastu,Absolutely! What Vastu-related help do you need for your home?,help home vastu
I want Vastu suggestions,Happy to help. Please tell me what kind of Vastu suggestions you are looking for.,want vastu suggestion
Vastu advice for my home,Sure! What specific area of your home do you want Vastu advice for?,vastu advice home
Can you guide me about Vastu,Definitely! What would you like to know about Vastu?,guide vastu
I need Vastu tips,Sure! Please share more details so I can give you the right Vastu tips.,need vastu tip
Help me with Vastu,I'm here to help. Please tell me your Vastu concerns.,help vastu
I need help regarding Vastu,Absolutely! Please go ahead and ask your Vastu-related questions.,need help regarding vastu
Can you give me Vastu remedies,"Yes, I can suggest Vastu remedies. Please share your problem.",give vastu remedy
Vastu tips for home,Sure! Which part of the house would you like Vastu tips for?,vastu tip home
What is Vastu,Vastu Shastra is an ancient Indian science of architecture and design that aims to harmonize living spaces with natural energies.,vastu
Why should I follow Vastu,"Vastu helps create a positive environment, attracting health, happiness, and prosperity.",follow vastu
How Vastu can help me,"Vastu can bring balance and harmony to your space, which may improve health, relationships, and success.",vastu help
Is Vastu important for home,"Yes, Vastu can help ensure that your home has positive energy and harmony.",vastu important home
How to arrange my house as per Vastu,I can guide you with directions for rooms and placements as per Vastu. Please tell me what you want to arrange.,arrange house per vastu
Can you check my house plan as per Vastu,I can give suggestions if you describe your house layout or rooms.,check house plan per vastu
What should be the direction for main door,"The main door is best placed in the North, East, or North-East direction.",direction main door
Where should I place pooja room,The ideal direction for a pooja room is North-East.,place pooja room
What is the best direction for kitchen,"The South-East is the best direction for the kitchen, also known as Agni corner.",best direction kitchen
Which direction is best for bedroom,The South-West direction is ideal for master bedrooms.,direction best bedroom
thankyou," ""im glad to help you with vastu""",thankyou
Question,Answer,question
Which side of the house should not be extended,South-West side of the house should not be extended as per Vastu. It can cause financial and health problems.,side house extended
Is South-West extension good as per Vastu,"No, South-West extension is not good. It may bring negative energy and instability in life.",extension good per vastu
Can I extend my house in South direction,Extending the house in the South is generally not advised as it can bring health and financial issues.,extend house south direction
Is it okay to extend house in West direction,"No, extending in the West is not recommended. It may affect opportunities and prosperity.",okay extend house west direction
Which direction is good for house extension,North and East directions are good for house extensions as per Vastu. They bring positive energy and growth.,direction good house extension
Should I avoid extension in South-East,"Yes, avoid extending South-East as it is the fire corner and may cause stress and disputes.",avoid extension
What happens if I extend house in South-West,"South-West extension can lead to serious problems related to finance, relationships, and stability.",happens extend house
Is North-East extension good,"Yes, North-East extension is considered very auspicious and brings prosperity and happiness.",extension good
Can I build extra rooms in South-West,It is not advised to build extra rooms in South-West as it may cause negative effects.,build extra room
Which side of plot extension is bad,"Extensions in South, South-West, and West sides are considered bad as per Vastu.",side plot extension bad
Is East extension good for home,"Yes, East extension is good and welcomes positive energy and opportunities.",east extension good home
What problems if South side is extended,South side extension may lead to health problems and mental stress.,problem south side extended
Is it good to extend house in North,"Yes, North extension is good and brings wealth and prosperity.",good extend house north
Can I make balcony in South-West,Avoid making a balcony in South-West; it weakens the stability and strength of the house.,make balcony
Which directions are best for house extension,"North, North-East, and East are the best directions for extension as per Vastu.",direction best house extension
Why should I avoid South-West extension,Because South-West is the zone of stability and strength. Extension here can weaken these aspects.,avoid extension
Should I avoid construction in South-West,"Yes, avoid construction or extension in South-West unless guided by an expert.",avoid construction
Which side is safe to extend house,North and East sides are safe and beneficial for house extension.,side safe extend house
Can I extend my plot towards West,Extending a plot towards West is not recommended and may bring obstacles.,extend plot towards west
What are effects of wrong house extension,"Wrong extension, like in South-West, may cause financial loss, relationship issues, and health problems.",effect wrong house extension
How to correct wrong extension as per Vastu,"Remedies like Vastu strips, mirrors, or pyramids may be used, but it's best to consult a Vastu expert.",correct wrong extension per vastu
Can backyard be in South-West,"No, South-West should be heavy and closed; open space or backyard in South-West is not good.",backyard
Is North-West extension acceptable,North-West extension is neutral but should be done carefully; better to avoid if possible.,extension acceptable
Can I extend house in North-East,"Yes, North-East is the most auspicious direction to extend and promotes peace and prosperity.",extend house
Which side extension increases wealth,Extension in North and East sides is said to improve wealth and success as per Vastu.,side extension increase wealth
Question,Answer,question
Whether South-East extension in house is good,"No, South-East extension is not good as per Vastu. It may bring fire-related issues, disputes, and financial troubles.",whether extension house good
Is it okay to extend house in South-East direction,"No, it is not okay. South-East is the Agni (fire) corner and extension here may cause health and relationship problems.",okay extend house direction
What happens if house is extended in South-East,"South-East extension can lead to increased anger, quarrels, and health problems, especially related to digestion and stress.",happens house extended
Can I make kitchen in South-East extension,"Kitchen is acceptable in South-East, but extending the South-East portion is not recommended.",make kitchen extension
Is South-East extension harmful,"Yes, South-East extension is harmful as it can create tension, loss of money, and accidents.",extension harmful
What are effects of South-East extension,"South-East extension may cause fights, legal issues, fire accidents, and female health problems.",effect extension
Can I build a room in South-East extension,"Building a room in South-East extension is not ideal. If unavoidable, Vastu remedies should be applied.",build room extension
What are Vastu remedies for South-East extension,"Vastu remedies like using copper strips, pyramids, and fire-related symbols can help reduce negative effects, but expert guidance is recommended.",vastu remedy extension
Is South-East extension better than South-West,"No, both South-East and South-West extensions are considered bad as per Vastu, but South-West is more severe.",extension better
What should be avoided in South-East extension,"Avoid placing bedrooms, main entrances, or open spaces in South-East extension.",avoided extension
Can I extend balcony in South-East,Balcony in South-East extension is not good. It may create stress and health problems.,extend balcony
How to balance South-East extension,"Using Vastu remedies like fire element balancing, metal strips, or closing the extension area may help. Consult an expert for proper solution.",balance extension
Is it good to have open space in South-East,Open space in South-East extension is not advised. South-East should be balanced and not extended.,good open space
What direction is suitable for house extension if not South-East,"North, East, and North-East directions are best for house extension as per Vastu.",direction suitable house extension
Is South-East extension suitable for commercial building,"Even in commercial buildings, South-East extension is avoided to prevent conflicts and financial issues.",extension suitable commercial building
Should I buy a house with South-East extension,It is better to avoid buying a house with South-East extension to prevent Vastu defects.,buy house extension
Can South-East extension affect women's health,"Yes, South-East extension may cause stress, anger, and reproductive health problems in women.",extension affect woman health
What is the solution if South-East is already extended,"Remedies like Vastu strips, pyramids, and fire balancing can be applied, but it's best to consult a Vastu expert.",solution already extended
Does South-East extension affect career growth,"Yes, it may create obstacles in career, conflicts at work, and instability in professional life.",extension affect career growth
Can I place water tank in South-East extension,"No, water elements should not be placed in South-East, especially in an extended part, as it may worsen problems.",place water tank extension
Is South-East extension acceptable if small,Even a small extension in South-East is not recommended; Vastu principles advise against it.,extension acceptable small
Can I extend bathroom in South-East,Bathrooms should be carefully planned. Extension in South-East is not good and may cause disputes and stress.,extend bathroom
Does South-East extension impact financial stability,"Yes, it may lead to unexpected expenses, losses, and financial instability.",extension impact financial stability
Is South-East extension okay for staircase,Staircase can be placed in South-East but extending the house itself in South-East direction is not good.,extension okay staircase
Can South-East extension be corrected without demolition,"Yes, certain Vastu remedies can help mitigate effects without demolition. Expert consultation is advised.",extension corrected without demolition
